stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,level_id
AIX-24137,24137,Bellevue,Bellevue,43.540882,5.4419,,,0,,,0,,
AIX-22856,22856,Bergerie,Bergerie,43.554741,5.407564,,,0,,,0,,
AIX-26635,26635,Bergerie,Bergerie,43.554787,5.407575,,,0,,,0,,
AIX-25873,25873,Berthier,Berthier,43.480591,5.378879,,,0,,,0,,
AIX-26381,26381,Berthier,Berthier,43.481117,5.379579,,,0,,,0,,
AIX-23272,23272,Bessemer,Bessemer,43.484226,5.38225,,,0,,,0,,
AIX-24642,24642,Bessemer,Bessemer,43.484497,5.382222,,,0,,,0,,
AIX-22289,22289,Bessi,Bessi,43.579433,5.410837,,,0,,,0,,
AIX-25163,25163,Bessi,Bessi,43.579311,5.410888,,,0,,,0,,
AIX-32959,32959,Bois de L'Aune,Bois de l'Aune,43.52726,5.415024,,,0,,,0,,
AIX-21663,21663,Bon Rencontre,Bon Rencontre,43.492226,5.429853,,,0,,,0,,
AIX-26382,26382,Bon Rencontre,Bon Rencontre,43.491928,5.429228,,,0,,,0,,
AIX-39991,39991,Bouenhoure,Bouenhoure,43.53437,5.42973,,,0,,,0,,
AIX-39992,39992,Bouenhoure,Bouenhoure,43.534222,5.42988,,,0,,,0,,
AIX-22683,22683,Bouffan,Bouffan,43.534744,5.415396,,,0,,,0,,
AIX-24720,24720,Bouffan,Bouffan,43.534931,5.41505,,,0,,,0,,
AIX-21936,21936,Bourget,Bourget,43.520084,5.455969,,,0,,,0,,
AIX-22353,22353,Bourget,Bourget,43.5196,5.456441,,,0,,,0,,
AIX-25516,25516,Bourse,Bourse,43.532204,5.445223,,,0,,,0,,
AIX-24518,24518,Boutière,Boutière,43.541706,5.43885,,,0,,,0,,
AIX-24935,24935,Boutière,Boutière,43.541363,5.438942,,,0,,,0,,
AIX-21526,21526,Brassens,Brassens,43.541771,5.456545,,,0,,,0,,
AIX-24476,24476,Brassens,Brassens,43.541904,5.456171,,,0,,,0,,
AIX-24998,24998,Briand,Briand,43.532646,5.448878,,,0,,,0,,
AIX-28135,28135,Brossolette,Brossolette,43.522903,5.442516,,,0,,,0,,
AIX-29173,29173,Brossolette,Brossolette,43.522507,5.442368,,,0,,,0,,
AIX-22977,22977,Brunet,Brunet,43.547302,5.439749,,,0,,,0,,
AIX-23273,23273,Brunet,Brunet,43.547249,5.440038,,,0,,,0,,
AIX-23223,23223,Bull,Bull,43.485668,5.342336,,,0,,,0,,
AIX-23684,23684,Bull,Bull,43.485741,5.342357,,,0,,,0,,
AIX-21528,21528,C 22,C 22,43.583385,5.415292,,,0,,,0,,
AIX-21894,21894,C. Cial Bouffan,C. Cial Bouffan,43.53339,5.41618,,,0,,,0,,
AIX-23952,23952,C. Cial Bouffan,C. Cial Bouffan,43.533588,5.41606,,,0,,,0,,
AIX-20285,20285,C. Cial des Milles,CCial des Milles,43.504333,5.39477,,,0,,,0,,
AIX-22902,22902,Cabassols,Cabassols,43.593063,5.48145,,,0,,,0,,
AIX-24971,24971,Cabassols,Cabassols,43.593132,5.481728,,,0,,,0,,
AIX-22741,22741,Caire,Caire,43.482494,5.421923,,,0,,,0,,
AIX-23088,23088,Caire,Caire,43.48262,5.42185,,,0,,,0,,
AIX-23810,23810,California,California,43.511822,5.435938,,,0,,,0,,
AIX-24643,24643,Camp de Menthe,Camp de Menthe,43.511158,5.413246,,,0,,,0,,
AIX-25874,25874,Camp de Menthe,Camp de Menthe,43.510464,5.414815,,,0,,,0,,
AIX-21517,21517,Camp des Milles,Camp des Milles,43.503014,5.381079,,,0,,,0,,
AIX-25255,25255,Camp des Milles,Camp des Milles,43.503098,5.380714,,,0,,,0,,
AIX-24936,24936,Camus,Camus,43.520321,5.431481,,,0,,,0,,
AIX-26269,26269,Camus,Camus,43.520321,5.431332,,,0,,,0,,
AIX-21614,21614,Cassin,Cassin,43.523647,5.468222,,,0,,,0,,
AIX-22091,22091,Cassin,Cassin,43.523598,5.468272,,,0,,,0,,
AIX-20813,20813,Castors,Castors,43.530403,5.43508,,,0,,,0,,
AIX-21232,21232,Castors,Castors,43.530384,5.434648,,,0,,,0,,
AIX-20019,20019,Cavaliers,Cavaliers,43.513908,5.430167,,,0,,,0,,
AIX-21347,21347,Cavaliers,Cavaliers,43.514072,5.430567,,,0,,,0,,
AIX-31905,31905,CC Bouffan 2,CC Bouffan 2,43.533489,5.415961,,,0,,,0,,
AIX-20384,20384,Centre Aquatique,Centre Aquatique,43.597919,5.495043,,,0,,,0,,
AIX-31908,31908,CFA / Granon,CFA Pays d'Aix,43.496517,5.368704,,,0,,,0,,
AIX-31909,31909,CFA / Granon,CFA Pays d'Aix,43.497284,5.369412,,,0,,,0,,
AIX-25377,25377,Chalet,Chalet,43.540142,5.436546,,,0,,,0,,
AIX-22192,22192,Champ De Foire,Champ de Foire,43.507656,5.417286,,,0,,,0,,
AIX-22447,22447,Champ De Foire,Champ de Foire 2,43.506989,5.41552,,,0,,,0,,
AIX-21203,21203,Chamson,Chamson,43.486565,5.413158,,,0,,,0,,
AIX-22363,22363,Chamson,Chamson,43.486446,5.41322,,,0,,,0,,
AIX-22504,22504,Chapuis,Chapuis,43.486824,5.422256,,,0,,,0,,
AIX-26383,26383,Chapuis,Chapuis,43.487129,5.422419,,,0,,,0,,
AIX-23140,23140,Chemin du Seuil,Chemin du Seuil,43.585762,5.412896,,,0,,,0,,
AIX-26238,26238,Chemin du Seuil,Chemin du Seuil,43.585793,5.413007,,,0,,,0,,
AIX-24116,24116,Chemin Eguilles,Chemin Eguilles,43.555229,5.404064,,,0,,,0,,
