shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
080012,43.513927,5.454892,29,
080012,43.513748,5.458941,30,
080012,43.51413,5.462298,31,
080012,43.513088,5.463658,32,
080012,43.511234,5.465353,33,
080047,43.511234,5.465353,1,
080047,43.513226,5.463781,2,
080047,43.514275,5.462827,3,
080047,43.51405,5.461032,4,
080047,43.513706,5.457813,5,
080047,43.51403,5.454944,6,
080047,43.515854,5.452436,7,
080047,43.517555,5.449947,8,
080047,43.519554,5.449824,9,
080047,43.520515,5.44979,10,
080047,43.522163,5.449599,11,
080047,43.523247,5.448713,12,
080047,43.522366,5.447571,13,
080047,43.522869,5.44585,14,
080047,43.52684,5.44426,15,
080047,43.527554,5.442679,16,
080047,43.528969,5.439557,17,
080047,43.528744,5.436259,18,
080047,43.528408,5.433347,19,
080047,43.528347,5.429755,20,
080047,43.529079,5.423243,21,
080047,43.529972,5.420464,22,
080047,43.53117,5.41657,23,
080047,43.533588,5.41606,24,
080047,43.534931,5.41505,25,
080047,43.532848,5.412794,26,
080047,43.531719,5.412963,27,
080047,43.529327,5.41288,28,
080047,43.528118,5.411432,29,
080047,43.526649,5.410529,30,
080047,43.523918,5.41243,31,
080047,43.522358,5.413493,32,
080047,43.522293,5.415585,33,
080047,43.521938,5.41829,34,
080047,43.522446,5.421097,35,
08SP0013,43.511623,5.4615,1,
08SP0013,43.513226,5.463781,2,
08SP0013,43.514275,5.462827,3,
08SP0013,43.51405,5.461032,4,
08SP0013,43.513706,5.457813,5,
08SP0013,43.51403,5.454944,6,
08SP0013,43.515854,5.452436,7,
08SP0013,43.517555,5.449947,8,
08SP0013,43.519554,5.449824,9,
08SP0013,43.520515,5.44979,10,
08SP0013,43.522163,5.449599,11,
08SP0013,43.523247,5.448713,12,
08SP0013,43.522366,5.447571,13,
08SP0013,43.522869,5.44585,14,
08SP0013,43.52684,5.44426,15,
08SP0013,43.527554,5.442679,16,
08SP0013,43.528969,5.439557,17,
08SP0013,43.528744,5.436259,18,
08SP0013,43.528408,5.433347,19,
08SP0013,43.528347,5.429755,20,
08SP0013,43.529079,5.423243,21,
08SP0013,43.529972,5.420464,22,
08SP0013,43.53117,5.41657,23,
08SP0013,43.533588,5.41606,24,
08SP0013,43.534931,5.41505,25,
08SP0013,43.532848,5.412794,26,
08SP0013,43.531719,5.412963,27,
08SP0013,43.529327,5.41288,28,
08SP0013,43.528118,5.411432,29,
08SP0013,43.526649,5.410529,30,
08SP0013,43.523918,5.41243,31,
08SP0013,43.522358,5.413493,32,
08SP0013,43.522293,5.415585,33,
08SP0013,43.521938,5.41829,34,
08SP0013,43.522446,5.421097,35,
08SP0014,43.522446,5.421097,1,
08SP0014,43.521851,5.41877,2,
08SP0014,43.522331,5.415426,3,
08SP0014,43.522423,5.413536,4,
08SP0014,43.524086,5.412557,5,
08SP0014,43.526646,5.410691,6,
08SP0014,43.528267,5.411831,7,
08SP0014,43.529533,5.413156,8,
08SP0014,43.531338,5.413255,9,
08SP0014,43.532848,5.412918,10,
08SP0014,43.534744,5.415396,11,
08SP0014,43.53339,5.41618,12,
08SP0014,43.530979,5.41671,13,
08SP0014,43.529823,5.420167,14,
08SP0014,43.529118,5.42261,15,
08SP0014,43.528164,5.429886,16,
08SP0014,43.528233,5.433351,17,
08SP0014,43.528603,5.436275,18,
08SP0014,43.529026,5.438655,19,
08SP0014,43.528625,5.440062,20,
08SP0014,43.527966,5.44154,21,
08SP0014,43.52663,5.444524,22,
08SP0014,43.523891,5.447196,23,
08SP0014,43.523949,5.449867,24,
08SP0014,43.522129,5.449494,25,
08SP0014,43.520267,5.449699,26,
08SP0014,43.517368,5.449767,27,
08SP0014,43.515831,5.452314,28,
08SP0014,43.513927,5.454892,29,
08SP0014,43.513748,5.458941,30,
08SP0014,43.51413,5.462298,31,
08SP0014,43.513088,5.463658,32,
08SP0014,43.511623,5.4615,33,
090035,43.524803,5.389891,1,
090035,43.525066,5.39483,2,
090035,43.525505,5.399182,3,
090035,43.528049,5.405155,4,
090035,43.528721,5.406595,5,
090035,43.529522,5.410375,6,
090035,43.52821,5.410839,7,
090035,43.525379,5.413538,8,
090035,43.524445,5.415522,9,
090035,43.524929,5.422967,10,
090035,43.525021,5.42429,11,
090035,43.52478,5.42945,12,
090035,43.524078,5.431244,13,
090035,43.522903,5.432906,14,
090035,43.520943,5.43221,15,
090035,43.51926,5.432504,16,
090035,43.517075,5.435406,17,
090035,43.515656,5.436278,18,
090035,43.514503,5.438498,19,
090035,43.51384,5.439627,20,
090035,43.513218,5.44167,21,
090035,43.513371,5.444921,22,
090035,43.513512,5.44859,23,
090035,43.512833,5.452506,24,
090035,43.511841,5.457402,25,
090035,43.512012,5.462,26,
090035,43.513226,5.463781,27,
090035,43.514362,5.464199,28,
090035,43.515991,5.466718,29,
090035,43.515415,5.468589,30,
090035,43.514984,5.470619,31,
090036,43.514984,5.470619,1,
090036,43.515957,5.471626,2,
090036,43.514626,5.470117,3,
090036,43.515491,5.468707,4,
090036,43.515388,5.466042,5,
090036,43.513088,5.463658,6,
090036,43.51173,5.461556,7,
090036,43.511883,5.457265,8,
090036,43.511822,5.454042,9,
090036,43.513405,5.451934,10,
090036,43.513618,5.44829,11,
090036,43.513454,5.4447,12,
090036,43.513317,5.441579,13,
090036,43.513817,5.439789,14,
090036,43.514732,5.438272,15,
090036,43.515491,5.436843,16,
090036,43.517105,5.43557,17,
090036,43.519855,5.432166,18,
090036,43.520866,5.432236,19,
090036,43.523029,5.433075,20,
090036,43.52404,5.431312,21,
090036,43.524921,5.42946,22,
090036,43.52512,5.42424,23,
090036,43.525246,5.422215,24,
090036,43.526421,5.41709,25,
090036,43.52726,5.415024,26,
090036,43.528049,5.411132,27,
090036,43.529251,5.41056,28,
090036,43.530064,5.40941,29,
090036,43.52882,5.406479,30,
090036,43.528202,5.404968,31,
090036,43.525513,5.399021,32,
090036,43.524982,5.393764,33,
090036,43.524849,5.389946,34,
09SP0014,43.523808,5.376228,1,
09SP0014,43.524803,5.389891,2,
09SP0014,43.525066,5.39483,3,
09SP0014,43.525505,5.399182,4,
09SP0014,43.528049,5.405155,5,
09SP0014,43.528721,5.406595,6,
09SP0014,43.529522,5.410375,7,
09SP0014,43.52821,5.410839,8,
09SP0014,43.525379,5.413538,9,
09SP0014,43.524445,5.415522,10,
09SP0014,43.524929,5.422967,11,
09SP0014,43.525021,5.42429,12,
09SP0014,43.52478,5.42945,13,
09SP0014,43.524078,5.431244,14,
09SP0014,43.522903,5.432906,15,
09SP0014,43.520943,5.43221,16,
09SP0014,43.51926,5.432504,17,
09SP0014,43.517075,5.435406,18,
09SP0014,43.515656,5.436278,19,
09SP0014,43.514503,5.438498,20,
09SP0014,43.51384,5.439627,21,
09SP0014,43.513218,5.44167,22,
09SP0014,43.513371,5.444921,23,
09SP0014,43.513512,5.44859,24,
09SP0014,43.512833,5.452506,25,
09SP0014,43.511841,5.457402,26,
09SP0014,43.512012,5.462,27,
